Date,Class-Type,Symbol,Year,Month,Strike-Price,P-C,Isin-Code,Mark-Price,Downside5,Downside4,Downside3,Downside2,Downside1,Upside1,Upside2,Upside3,Upside4,Upside5,Short-Adjustment,Volatility,Open-Interest,Cleared-Volume,Market-Id,Market-Id
20151126,O,ACE,2015,12,9.5,C,IT0012065139,4.33,1.486639,1.189294,0.891949,0.594604,0.297259,0.297431,0.594776,0.892121,1.189466,1.486811,1.486811,0.236,0,0,2,2
20151126,O,ACE,2015,12,9.5,P,IT0012065147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2972,0.236,0,0,2,2
20151126,O,ACE,2015,12,10.0,C,IT0012065154,3.83,1.486625,1.189289,0.891945,0.5946,0.297255,0.297435,0.59478,0.892125,1.18947,1.486815,1.486815,0.229,0,0,2,2
20151126,O,ACE,2015,12,10.0,P,IT0012065162,0.00,0.000009,0.000001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2972,0.229,0,0,2,2
20151126,O,ACE,2015,12,10.5,C,IT0012065170,3.33,1.486392,1.189241,0.891934,0.594594,0.29725,0.29744,0.594785,0.89213,1.189475,1.48682,1.48682,0.223,0,0,2,2
20151126,O,ACE,2015,12,10.5,P,IT0012065188,0.00,0.000238,0.000044,0.000007,0.000001,0.00,0.00,0.00,0.00,0.00,0.00,0.2972,0.223,0,0,2,2
20151126,O,ACE,2015,12,11.0,C,IT0012065196,2.8301,1.483617,1.188545,0.891869,0.594658,0.297341,0.297344,0.594689,0.892034,1.189379,1.486724,1.486724,0.217,0,0,2,2
20151126,O,ACE,2015,12,11.0,P,IT0012065204,0.00,0.003109,0.000835,0.000167,0.000033,0.000004,0.00,0.00,0.00,0.00,0.00,0.2972,0.217,0,0,2,2
20151126,O,ACE,2015,12,11.5,C,IT0012065212,2.3301,1.461988,1.181048,0.889534,0.594106,0.297208,0.297352,0.594694,0.892039,1.189384,1.486729,1.486729,0.212,0,0,2,2
20151126,O,ACE,2015,12,11.5,P,IT0012065220,0.00,0.024733,0.008328,0.002497,0.00058,0.000133,0.000004,0.00,0.00,0.00,0.00,0.2972,0.212,0,0,2,2
20151126,O,ACE,2015,12,12.0,C,IT0012065238,1.8305,1.374068,1.140535,0.87302,0.588688,0.295889,0.29705,0.594314,0.891646,1.188989,1.486333,1.486333,0.207,0,0,2,2
20151126,O,ACE,2015,12,12.0,P,IT0012065246,0.0004,0.11265,0.048837,0.019007,0.005994,0.001448,0.000303,0.000384,0.000397,0.0004,0.0004,0.2968,0.207,0,0,2,2
